State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2",
Alabama,247,158,137,0,20,1,24,44,21, 
Alaska,37,17,16,0,1,0,4,12,4,
Arizona,409,295,244,30,14,7,44,45,25,
Arkansas,152,95,69,3,6,17,19,31,7,
California,"2,391","1,724","1,442",75,69,138,281,242,144,
Colorado,199,116,85,5,8,18,32,17,34,
Connecticut,86,47,39,0,2,6,16,18,5,
Delaware,14,9,7,0,0,2,3,1,1,
Georgia,528,342,283,14,16,29,70,69,47,
Hawaii,31,6,3,0,2,1,13,5,7,
Idaho,30,17,7,3,1,6,5,6,2,
Illinois,448,337,313,4,0,20,37,64,10,
Indiana,299,208,144,5,11,48,37,39,15,
Iowa,40,19,11,1,4,3,9,5,7,
Kansas,75,45,31,1,3,10,6,22,2,
Kentucky,217,136,99,11,14,12,25,43,13,
Louisiana,557,442,369,34,14,25,44,50,21,
Maine,17,9,6,0,3,0,4,1,3,
Maryland,520,386,362,2,17,5,57,47,30,
Massachusetts,167,97,67,1,3,26,37,27,6,
Michigan,638,456,364,18,27,47,68,79,35,
Minnesota,110,73,63,6,4,0,19,7,11,
Mississippi,175,124,104,2,10,8,22,22,7,
Missouri,353,243,97,19,10,117,37,68,5,
Montana,23,11,8,0,0,3,7,1,4,
Nebraska,27,17,13,0,0,4,3,4,3,
Nevada,172,110,71,2,9,28,24,30,8,
New Hampshire,13,4,4,0,0,0,3,4,2,
New Jersey,391,230,225,2,2,1,69,56,36,
New Mexico,150,75,66,3,2,4,28,29,18,
New York,864,500,419,10,25,46,173,123,68,
North Carolina,477,284,199,14,24,47,67,84,42,
North Dakota,8,4,1,2,1,0,0,3,1,
Ohio,464,245,160,10,15,60,57,113,49,
Oklahoma,186,106,78,5,17,6,32,27,21,
Oregon,90,48,19,3,1,25,19,19,4,
Pennsylvania,632,449,359,8,14,68,54,111,18,
Rhode Island,26,16,11,0,1,4,3,3,4,
South Carolina,287,194,151,15,13,15,38,38,17,
South Dakota,16,5,2,1,2,0,4,7,0,
Tennessee,350,221,142,10,18,51,48,53,28,
Texas,"1,362",882,688,49,70,75,211,179,90,
Utah,21,12,10,0,0,2,2,6,1,
Vermont,16,3,3,0,0,0,7,6,0,
Virginia,390,270,122,8,16,124,44,61,15,
Washington,189,106,82,7,7,10,29,35,19,
West Virginia,62,31,15,3,4,9,8,18,5,
Wisconsin,154,99,54,7,6,32,20,18,17,
Wyoming,11,3,1,0,1,1,3,4,1,
Total,14121,9326,7265,393,507,1161,1866,1996,933,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, ,,,,,
,,,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
,, ,,,,, ,, ,
, ,,,,,,,,,
,, ,, ,,,,,,
