State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2",,,
Alabama3,1,1,1,0,0,0,0,0,0,,,
Alaska,41,22,6,0,2,14,8,5,6,,,
Arizona,258,153,116,6,6,25,33,66,6,,,
Arkansas,154,111,55,3,10,43,17,23,3,,,
California,"1,697","1,169",763,40,43,323,256,175,97,,,
Colorado,149,91,60,3,2,26,25,20,13,,, 
Connecticut,83,51,19,0,3,29,17,5,10,,,
Delaware,54,39,29,0,0,10,4,3,8,,,
District of Columbia,105,73,30,0,1,42,17,10,5,,,
Georgia,540,416,371,11,10,24,55,63,6,,,
Hawaii,5,1,1,0,0,0,0,3,1,,,
Idaho,30,15,10,0,2,3,6,4,5,,,
Illinois3,428,371,364,5,1,1,30,14,13,,,
Indiana,299,222,166,5,3,48,26,37,14,,,
Iowa,55,27,10,1,3,13,8,12,8,,,
Kansas,89,56,22,4,4,26,13,12,8,,,
Kentucky,160,112,85,1,5,21,16,26,6,,,
Louisiana,407,319,189,9,13,108,46,30,12,,,
Maine,21,6,2,0,4,0,4,8,3,,,
Maryland,309,208,190,1,6,11,67,20,14,,,
Massachusetts,131,81,33,0,0,48,34,13,3,,,
Michigan,531,342,209,5,4,124,60,102,27,,,
Minnesota,82,42,33,1,3,5,10,20,10,,,
Mississippi,161,122,97,2,3,20,14,17,8,,,
Missouri,402,314,166,24,5,119,35,43,10,,,
Montana,27,17,12,0,2,3,5,3,2,,,
Nebraska,51,32,24,3,4,1,7,8,4,,,
Nevada,169,94,14,1,0,79,34,32,9,,,
New Hampshire,12,6,3,2,0,1,2,3,1,,,
New Jersey,337,243,200,3,5,35,42,34,18,,,
New Mexico,96,53,21,2,2,28,22,19,2,,,
New York,613,344,283,1,12,48,139,103,27,,,
North Carolina,469,318,242,21,14,41,39,63,49,,,
North Dakota,14,6,1,1,0,4,3,3,2,,,
Ohio,436,277,180,0,4,93,37,102,20,,,
Oklahoma,167,104,88,5,5,6,29,28,6,,,
Oregon,73,39,16,2,2,19,14,18,2,,,
Pennsylvania,609,453,350,8,14,81,63,78,15,,,
Rhode Island,25,12,5,0,1,6,7,5,1,,,
South Carolina,301,219,138,8,11,62,31,34,17,,,
South Dakota,15,6,0,0,0,6,1,5,3,,,
Tennessee,370,246,160,7,2,77,43,60,21,,,
Texas,"1,141",765,483,33,28,221,145,128,103,,,
Utah,61,36,25,4,2,5,6,9,10,,,
Vermont,10,6,3,2,0,1,1,1,2,,,
Virginia,337,228,119,9,10,90,35,53,21,,,
Washington,172,94,54,6,4,30,25,42,11,,,
West Virginia,62,16,12,1,0,3,10,30,6,,,
Wisconsin,158,117,79,8,2,28,19,13,9,,,
Wyoming,13,8,6,0,1,1,1,2,2,,,
Guam,6,0,0,0,0,0,4,1,1,,,
Virgin Islands,25,21,17,0,4,0,2,2,0,,,
Total,11961,8124,5562,248,262,2052,1567,1610,660,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,, ,, ,,,
, ,,,,,,,,,,,
,, ,, ,,,,,,,,
