State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alabama,3,1,0,0,0,1,0,2,0
Alaska,52,43,12,4,1,26,3,6,0
Arizona,336,227,156,16,10,45,40,63,6
Arkansas,209,151,72,11,3,65,25,25,8
California,"1,930","1,368",930,37,36,365,280,193,89
Colorado,202,136,87,4,4,41,27,28,11
Connecticut,76,48,24,0,1,23,12,13,3
Delaware,56,41,17,0,0,24,7,8,0
District of Columbia,136,105,105,0,0,0,19,6,6
Georgia,646,522,421,20,14,67,48,71,5
Hawaii,35,19,12,3,2,2,8,5,3
Idaho,47,17,13,1,0,3,5,21,4
Illinois,941,799,728,14,5,52,61,62,19
Indiana,348,287,169,12,2,104,19,32,10
Iowa,71,43,25,2,1,15,12,10,6
Kansas,96,61,43,5,1,12,8,19,8
Kentucky,260,207,143,7,8,49,20,22,11
Louisiana,543,445,219,26,7,193,33,52,13
Maine,20,11,2,1,3,5,5,2,2
Maryland,430,328,309,2,3,14,52,29,21
Massachusetts,132,85,34,0,0,51,25,11,11
Michigan,597,443,191,15,12,225,45,89,20
Minnesota,99,60,42,2,1,15,12,19,8
Mississippi,154,128,101,4,6,17,4,14,8
Missouri,535,437,211,23,6,197,37,50,11
Montana,34,17,6,4,3,4,9,5,3
Nebraska,41,30,30,0,0,0,9,2,0
Nevada,209,141,21,2,0,118,20,42,6
New Hampshire,16,8,4,1,1,2,2,0,6
New Jersey,372,278,212,1,3,62,29,42,23
New Mexico,99,60,13,1,0,46,17,19,3
New York,628,367,305,2,9,51,130,99,32
North Carolina,595,421,262,20,22,117,50,80,44
North Dakota,14,8,5,2,0,1,3,1,2
Ohio,627,452,197,7,8,240,39,104,32
Oklahoma,243,171,135,9,9,18,31,23,18
Oregon,100,51,32,6,1,12,24,24,1
Pennsylvania,655,486,395,10,12,69,68,78,23
Rhode Island,29,12,5,0,0,7,9,6,2
South Carolina,363,281,172,7,9,93,29,36,17
South Dakota,21,7,7,0,0,0,5,4,5
Tennessee,486,356,202,10,7,137,49,69,12
Texas,"1,459","1,066",630,51,31,354,175,136,82
Utah,71,42,31,1,0,10,6,20,3
Vermont,14,6,2,2,1,1,2,6,0
Virginia,482,352,151,10,10,181,33,67,30
Washington,195,127,69,11,5,42,19,38,11
West Virginia,76,47,30,2,0,15,4,21,4
Wisconsin,226,166,119,6,4,37,27,21,12
Wyoming,19,6,1,0,1,4,8,3,2
U.S. Virgin Islands,42,34,3,0,0,31,0,8,0
Total,15070,11004,7105,374,262,3263,1604,1806,656
