Category,Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Race,Anti-White,828,935,975,963
Race,Anti-Black,2630,3200,3322,2581
Race,Anti-American Indian/Alaskan Native,79,95,97,73
Race,Anti-Asian/Pacific Islander,199,231,240,163
Race,"Anti-Multiple Races, Group",183,230,261,133
Religion,Anti-Jewish,848,900,977,364
Religion,Anti-Catholic,58,61,61,22
Religion,Anti-Protestant,57,58,58,32
Religion,Anti-Islamic,128,146,151,89
Religion,Anti-Other Religion,93,102,106,54
Religion,"Anti-Multiple Religions, Group",39,42,47,18
Religion,Anti-Atheism/Agnosticism/etc.,4,5,5,1
Sexual Orientation,Anti-Male Homosexual,621,713,743,715
Sexual Orientation,Anti-Female Homosexual,155,180,186,146
Sexual Orientation,Anti-Homosexual,195,228,233,237
Sexual Orientation,Anti-Heterosexual,21,23,23,18
Sexual Orientation,Anti-Bisexual,25,27,28,22
Race,Anti-Hispanic,522,660,722,691
Race,Anti-Other Ethnicity/National Origin,422,484,506,424
Disability,Anti-Physical,21,21,21,21
Disability,Anti-Mental,32,32,33,33
