Bias motivation,Incidents,Offenses,Victims1,  Known offenders2
Total,7624,9006,9535,6965
Single-Bias Incidents,7621,8999,9527,6962
Race:,3870,4724,4956,3707
Anti-White,749,871,908,828
Anti-Black,2658,3275,3434,2509
Anti-American Indian/Alaskan Native,61,75,76,63
Anti-Asian/Pacific Islander,188,219,234,165
"Anti-Multiple Races, Group",214,284,304,142
Religion:,1400,1477,1628,576
Anti-Jewish,969,1010,1127,320
Anti-Catholic,61,65,70,31
Anti-Protestant,57,59,67,22
Anti-Islamic,115,133,142,104
Anti-Other Religion,130,140,148,62
"Anti-Multiple Religions, Group",62,64,66,32
Anti-Atheism/Agnosticism/etc.,6,6,8,5
Sexual Orientation:,1265,1460,1512,1454
Anti-Male Homosexual,772,864,890,923
Anti-Female Homosexual,145,184,197,147
Anti-Homosexual,304,362,375,349
Anti-Heterosexual,22,27,27,19
Anti-Bisexual,22,23,23,16
Ethnicity/National Origin:,1007,1256,1347,1155
Anti-Hispanic,595,775,830,758
Anti-Other Ethnicity/National Origin,412,481,517,397
Disability:,79,82,84,70
Anti-Physical,20,20,20,27
Anti-Mental,59,62,64,43
Multiple-Bias Incidents3,3,7,8,3
