Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2"
Total,6222,7254,7713,5731
Single-Bias Incidents,6216,7240,7697,5724
Race:,2917,3465,3645,2787
Anti-White,504,577,593,594
Anti-Black,2076,2494,2619,1935
Anti-American Indian/Alaskan Native,61,67,70,60
Anti-Asian/Pacific Islander,138,165,175,120
"Anti-Multiple Races, Group",138,162,188,78
Religion:,1233,1318,1480,590
Anti-Jewish,771,820,936,287
Anti-Catholic,67,68,84,21
Anti-Protestant,44,49,51,32
Anti-Islamic,157,175,185,138
Anti-Other Religion,130,139,155,74
"Anti-Multiple Religions, Group",60,63,65,37
Anti-Atheism/Agnosticism/etc.,4,4,4,1
Sexual Orientation:,1293,1508,1572,1511
Anti-Male Homosexual,760,871,891,978
Anti-Female Homosexual,137,168,174,123
Anti-Homosexual,359,429,465,362
Anti-Heterosexual,16,17,19,19
Anti-Bisexual,21,23,23,29
Ethnicity/National Origin:,720,891,939,749
Anti-Hispanic,405,506,534,452
Anti-Other Ethnicity/National Origin,315,385,405,297
Disability:,53,58,61,87
Anti-Physical,19,23,26,29
Anti-Mental,34,35,35,58
Multiple-Bias Incidents3,6,14,16,7
