Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2",,
Total,5479,6418,6727,5192,,
Single-Bias Incidents,5462,6385,6681,5176,,
Ethnicity/National Origin:,2568,3081,3227,2431,,
Anti-White,593,701,734,635,,
Anti-Black,1621,1955,2022,1442,,
Anti-American Indian/Alaskan Native,130,142,148,108,,
Anti-Asian/Pacific Islander,143,172,205,190,,
"Anti-Multiple Races, Group",81,111,118,56,,
Religion:,1014,1092,1140,687,,
Anti-Jewish,609,635,648,380,,
Anti-Catholic,64,67,70,35,,
Anti-Protestant,25,28,28,12,, 
Anti-Islamic,154,178,184,148,,
Anti-Other Religion,107,120,125,70,,
"Anti-Multiple Religions, Group",44,51,71,29,,
Anti-Atheism/Agnosticism/etc.,11,13,14,13,,
Sexual Orientation:,1017,1178,1248,1154,,
Anti-Male Homosexual,599,683,703,732,,
Anti-Female Homosexual,129,168,174,126,,
Anti-Homosexual,241,278,305,249,,
Anti-Heterosexual,18,18,19,10,,
Anti-Bisexual,30,31,47,37,,
Ethnicity:,648,790,821,668,,
Anti-Hispanic,299,376,389,325,,
Anti-Not Hispanic or Latino3,349,414,432,343,,
Disability:,84,95,96,74,,
Anti-Physical,23,26,26,25,,
Anti-Mental,61,69,70,49,,
Gender:,33,40,40,25,,
Anti-Male,10,12,12,10,,
Anti-Female,23,28,28,15,,
Gender Identity:,98,109,109,137,,
Anti-Transgender,58,69,69,104,, 
Anti-Gender Non-Conforming,40,40,40,33,,
Multiple-Bias Incidents3,17,33,46,16,,
