Bias motivation,Incidents,Offenses,Victims1,"Known
offenders2",,,
Total,6121,7321,7615,5770,,,
Single-Bias Incidents,6063,7227,7509,5727,,,
Race/Ethnicity/Ancestry:,3489,4229,4426,3383,,,
Anti-White,720,876,909,831,,,
Anti-Black,1739,2122,2220,1588,,,
Anti-American Indian/Alaskan Native,154,161,169,118,,,
Anti-Asian/Pacific Islander,122,140,146,131,,, 
"Anti-Multiple Races, Group",136,178,190,104,,,
Anti-Arab,51,56,57,60,,,
Anti-Hispanic,344,449,483,380,,,
Anti-Other Race/Ethnicity/Ancestry,223,247,252,171,,,
Religion:,1273,1538,1584,859,,,
Anti-Jewish,684,834,862,421,,,
Anti-Catholic,62,63,65,45,,,
Anti-Protestant,15,20,22,12,,,
Anti-Islamic,307,381,388,243,,,
Anti-Other Religion,74,90,91,53,,,
"Anti-Multiple Religions, Group",34,48,48,20,,,
Anti-Mormon,7,8,8,3,,,
Anti-Jehovah's Witness,2,3,3,1,,,
"Anti-Eastern Orthodox (Russian, Greek, Other)",28,28,30,23,,,
Anti-Other Christian,36,37,39,13,,,
Anti-Buddhist,1,1,1,0,,,
Anti-Hindu,10,12,12,11,,,
Anti-Sikh,7,7,8,10,,,
Anti-Atheism/Agnosticism/etc.,6,6,7,4,,,
Sexual Orientation:,1076,1218,1255,1225,,,
Anti-Male Homosexual,675,765,787,806,,,
Anti-Female Homosexual,124,141,147,127,,,
Anti-Homosexual,234,262,271,254,,,
Anti-Heterosexual,20,23,23,13,,,
Anti-Bisexual,23,27,27,25,,,
Disability:,70,76,77,67,,,
Anti-Physical,26,29,30,29,,,
Anti-Mental,44,47,47,38,,,
Gender:,31,36,36,28,,,
Anti-Male,7,10,10,7,,,
Anti-Female,24,26,26,21,,,
Gender Identity:,124,130,131,165,,,
Anti-Transgender,105,111,111,149,,,
Anti-Gender Non-Conforming,19,19,20,16,,,
Multiple-Bias Incidents3,58,94,106,43,,,
