Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2013 estimated population
TOTAL ALL AGENCIES:,2012,1145272,14349,65733,345758,719432,8507866,1992895,5816991,697980,51126,,
TOTAL ALL AGENCIES:,2013,1095149,13716,62034,335428,683971,8160228,1820544,5665392,674292,44245,15232,299269511
TOTAL ALL AGENCIES:,Percent change,-4.4,-4.4,-5.6,-3,-4.9,-4.1,-8.6,-2.6,-3.4,-13.5,,
TOTAL CITIES,2012,919218,11198,50003,303475,554542,6671809,1460169,4655398,556242,38974, ,
TOTAL CITIES,2013,877594,10511,47606,294292,525185,6434879,1335527,4557867,541485,33432,11031,202966923
TOTAL CITIES,Percent change,-4.5,-6.1,-4.8,-3,-5.3,-3.6,-8.5,-2.1,-2.7,-14.2, ,
"GROUP I (250,000 and over)",2012,416885,5897,15715,167168,228105,2155161,493768,1401823,259570,12945, ,
"GROUP I (250,000 and over)",2013,402988,5356,15522,162815,219295,2097875,454980,1395583,247312,12150,77,57394814
"GROUP I (250,000 and over)",Percent change,-3.3,-9.2,-1.2,-2.6,-3.9,-2.7,-7.9,-0.4,-4.7,-6.1, ,
"1,000,000 and over (Group I subset)",2012,166007,2255,5254,74843,83655,783251,166197,523397,93657,3547,,
"1,000,000 and over (Group I subset)",2013,161252,1930,5356,71478,82488,760143,151503,521708,86932,3612,10,25735804
"1,000,000 and over (Group I subset)",Percent change,-2.9,-14.4,1.9,-4.5,-1.4,-3,-8.8,-0.3,-7.2,1.8, ,
"500,000 to 999,999 (Group I subset)",2012,138439,1929,5833,48874,81803,747008,177258,481094,88656,4772,,
"500,000 to 999,999 (Group I subset)",2013,134216,1786,5848,48375,78207,733283,164283,482351,86649,4466,24,16780477
"500,000 to 999,999 (Group I subset)",Percent change,-3.1,-7.4,0.3,-1,-4.4,-1.8,-7.3,0.3,-2.3,-6.4,, 
"250,000 to 499,999 (Group I subset)",2012,112439,1713,4628,43451,62647,624902,150313,397332,77257,4626,,
"250,000 to 499,999 (Group I subset)",2013,107520,1640,4318,42962,58600,604449,139194,391524,73731,4072,43,14878533
"250,000 to 499,999 (Group I subset)",Percent change,-4.4,-4.3,-6.7,-1.1,-6.5,-3.3,-7.4,-1.5,-4.6,-12,,
"GROUP II (100,000 to 249,999)",2012,154144,1788,8812,50456,93088,1167627,268959,793349,105319,6540,,
"GROUP II (100,000 to 249,999)",2013,145408,1806,7951,48590,87061,1130942,246360,778577,106005,5603,215,32029761
"GROUP II (100,000 to 249,999)",Percent change,-5.7,1,-9.8,-3.7,-6.5,-3.1,-8.4,-1.9,0.7,-14.3,,
"GROUP III (50,000 to 99,999)",2012,116180,1162,7351,34531,73136,977397,215072,687344,74981,5584,,
"GROUP III (50,000 to 99,999)",2013,110033,1171,6972,33264,68626,942519,194902,673912,73705,4599,471,32516218
"GROUP III (50,000 to 99,999)",Percent change,-5.3,0.8,-5.2,-3.7,-6.2,-3.6,-9.4,-2,-1.7,-17.6,,
"GROUP IV (25,000 to 49,999)",2012,85900,920,6370,23082,55528,836125,172406,616275,47444,4538,,
"GROUP IV (25,000 to 49,999)",2013,80441,865,6035,22462,51079,806275,158056,601616,46603,3489,841,28988979
"GROUP IV (25,000 to 49,999)",Percent change,-6.4,-6,-5.3,-2.7,-8,-3.6,-8.3,-2.4,-1.8,-23.1,,
"GROUP V (10,000 to 24,999)",2012,77759,826,6011,17517,53405,817630,169750,608579,39301,3809,,
"GROUP V (10,000 to 24,999)",2013,73998,713,5587,17065,50633,778955,153632,586929,38394,3212,1813,28865002
"GROUP V (10,000 to 24,999)",Percent change,-4.8,-13.7,-7.1,-2.6,-5.2,-4.7,-9.5,-3.6,-2.3,-15.7,, 
"GROUP VI (under 10,000)",2012,68350,605,5744,10721,51280,717869,140214,548028,29627,5558,,
"GROUP VI (under 10,000)",2013,64726,600,5539,10096,48491,678313,127597,521250,29466,4379,7614,23172149
"GROUP VI (under 10,000)",Percent change,-5.3,-0.8,-3.6,-5.8,-5.4,-5.5,-9,-4.9,-0.5,-21.2,,
METROPOLITAN COUNTIES,2012,183662,2337,11357,39349,130619,1461686,405229,938019,118438,9151,,
METROPOLITAN COUNTIES,2013,177318,2386,10425,38507,126000,1380837,369194,901047,110596,8153,1844,71774379
METROPOLITAN COUNTIES,Percent change,-3.5,2.1,-8.2,-2.1,-3.5,-5.5,-8.9,-3.9,-6.6,-10.9,,
NONMETROPOLITAN COUNTIES2,2012,42392,814,4373,2934,34271,374371,127497,223574,23300,3001,,
NONMETROPOLITAN COUNTIES2,2013,40237,819,4003,2629,32786,344512,115823,206478,22211,2660,2357,24528209
NONMETROPOLITAN COUNTIES2,Percent change,-5.1,0.6,-8.5,-10.4,-4.3,-8,-9.2,-7.6,-4.7,-11.4,,
SUBURBAN AREAS3,2012,326107,3773,21495,75543,225296,3023845,709426,2112377,202042,17202,,
SUBURBAN AREAS3,2013,312046,3692,20220,73494,214640,2865297,642401,2030729,192167,14556,8346,131056632
SUBURBAN AREAS3,Percent change,-4.3,-2.1,-5.9,-2.7,-4.7,-5.2,-9.4,-3.9,-4.9,-15.4,,
