Population group,Year,Violent crime,Murder and nonnegligent manslaughter,Rape revised,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,2015 estimated population
TOTAL ALL AGENCIES:,2014,1118918,13594,89098,7115,310511,698600,7730805,1613258,5464398,653149,42914,,
TOTAL ALL AGENCIES:,2015,1160664,15192,94717,7586,315660,727509,7549676,1489820,5383743,676113,41376,15545,305159115
TOTAL ALL AGENCIES:,Percent change,3.7,11.8,6.3,6.6,1.7,4.1,-2.3,-7.7,-1.5,3.5,-3.6,,
TOTAL CITIES,2014,894588,10513,66134,4782,272092,541067,6103377,1176651,4404971,521755,32603, ,
TOTAL CITIES,2015,929348,11862,70759,5123,276831,564773,5998043,1092856,4362498,542689,31557,11122,206728529
TOTAL CITIES,Percent change,3.9,12.8,7,7.1,1.7,4.4,-1.7,-7.1,-1,4,-3.2, ,
"GROUP I (250,000 and over)",2014,420517,5370,24607,1040,150505,238995,2006899,404912,1361161,240826,11730, ,
"GROUP I (250,000 and over)",2015,437895,6146,26947,1129,154760,248913,1987100,378045,1365521,243534,11931,80,59097749
"GROUP I (250,000 and over)",Percent change,4.1,14.5,9.5,8.6,2.8,4.1,-1,-6.6,0.3,1.1,1.7, ,
"1,000,000 and over (Group I subset)",2014,177366,2017,10367,,67346,97636,737431,139640,504988,92803,4149,,
"1,000,000 and over (Group I subset)",2015,187350,2231,12147,,69301,103671,726998,131803,501699,93496,3921,11,27404679
"1,000,000 and over (Group I subset)",Percent change,5.6,10.6,17.2,,2.9,6.2,-1.4,-5.6,-0.7,0.7,-5.5, ,
"500,000 to 999,999 (Group I subset)",2014,132955,1719,7755,612,43570,79299,675699,138006,460506,77187,3184,,
"500,000 to 999,999 (Group I subset)",2015,135732,2066,7919,620,46025,79102,668848,129169,463493,76186,3480,22,15610663
"500,000 to 999,999 (Group I subset)",Percent change,2.1,20.2,2.1,1.3,5.6,-0.2,-1,-6.4,0.6,-1.3,9.3,, 
"250,000 to 499,999 (Group I subset)",2014,110196,1634,6485,428,39589,62060,593769,127266,395667,70836,4397,,
"250,000 to 499,999 (Group I subset)",2015,114813,1849,6881,509,39434,66140,591254,117073,400329,73852,4530,47,16082407
"250,000 to 499,999 (Group I subset)",Percent change,4.2,13.2,6.1,18.9,-0.4,6.6,-0.4,-8,1.2,4.3,3,,
"GROUP II (100,000 to 249,999)",2014,143201,1797,11010,678,44227,85489,1056023,213004,741802,101217,5356,,
"GROUP II (100,000 to 249,999)",2015,150861,1999,11875,789,44821,91377,1054055,198842,746268,108945,4999,216,32227725
"GROUP II (100,000 to 249,999)",Percent change,5.3,11.2,7.9,16.4,1.3,6.9,-0.2,-6.6,0.6,7.6,-6.7,,
"GROUP III (50,000 to 99,999)",2014,108643,1116,8527,641,30670,67689,896590,169982,656450,70158,4358,,
"GROUP III (50,000 to 99,999)",2015,111117,1243,8772,729,30638,69735,891484,157891,657274,76319,4142,481,33490047
"GROUP III (50,000 to 99,999)",Percent change,2.3,11.4,2.9,13.7,-0.1,3,-0.6,-7.1,0.1,8.8,-5,,
"GROUP IV (25,000 to 49,999)",2014,83487,915,7803,763,21487,52519,772777,141808,585795,45174,3728,,
"GROUP IV (25,000 to 49,999)",2015,86591,1013,8325,841,21376,55036,753094,131479,574041,47574,3476,861,29777604
"GROUP IV (25,000 to 49,999)",Percent change,3.7,10.7,6.7,10.2,-0.5,4.8,-2.5,-7.3,-2,5.3,-6.8,,
"GROUP V (10,000 to 24,999)",2014,74277,731,7206,793,15606,49941,731328,134348,560627,36353,3183,,
"GROUP V (10,000 to 24,999)",2015,76808,834,7693,767,15685,51829,704558,122779,544020,37759,3044,1805,28863408
"GROUP V (10,000 to 24,999)",Percent change,3.4,14.1,6.8,-3.3,0.5,3.8,-3.7,-8.6,-3,3.9,-4.4,, 
"GROUP VI (under 10,000)",2014,64463,584,6981,867,9597,46434,639760,112597,499136,28027,4248,,
"GROUP VI (under 10,000)",2015,66076,627,7147,868,9551,47883,607752,103820,475374,28558,3965,7679,23271996
"GROUP VI (under 10,000)",Percent change,2.5,7.4,2.4,0.1,-0.5,3.1,-5,-7.8,-4.8,1.9,-6.7,,
METROPOLITAN COUNTIES,2014,179958,2340,16116,1802,35727,123973,1300465,329479,861902,109084,7564,,
METROPOLITAN COUNTIES,2015,185888,2476,17206,1842,36195,128169,1247681,298050,838438,111193,7379,1946,73347881
METROPOLITAN COUNTIES,Percent change,3.3,5.8,6.8,2.2,1.3,3.4,-4.1,-9.5,-2.7,1.9,-2.4,,
NONMETROPOLITAN COUNTIES3,2014,44372,741,6848,531,2692,33560,326963,107128,197525,22310,2747,,
NONMETROPOLITAN COUNTIES3,2015,45428,854,6752,621,2634,34567,303952,98914,182807,22231,2440,2477,25082705
NONMETROPOLITAN COUNTIES3,Percent change,2.4,15.2,-1.4,16.9,-2.2,3,-7,-7.7,-7.5,-0.4,-11.2,,
SUBURBAN AREAS4,2014,313352,3670,28816,3001,67667,210198,2680468,566379,1928061,186028,14074,,
SUBURBAN AREAS4,2015,323844,3900,30758,3048,68209,217929,2582715,514887,1875964,191864,13388,8480,132726573
SUBURBAN AREAS4,Percent change,3.3,6.3,6.7,1.6,0.8,3.7,-3.6,-9.1,-2.7,3.1,-4.9,,
