"State","County","Murder.and.nonnegligent.manslaughter","Forcible.rape","Robbery","Aggravated.assault","Burglary","Larceny.theft","Motor.vehicle.theft","Arson","Year"
"Alabama","Autauga",0,4,9,36,129,211,40,NA,2004
"Alabama","Bibb",0,2,3,20,40,43,6,NA,2004
"Alabama","Blount",2,12,2,85,373,550,112,2,2004
"Alabama","Calhoun",0,6,12,7,175,506,1,NA,2004
"Alabama","Chilton",1,11,4,359,216,326,13,NA,2004
"Alabama","Colbert",1,5,5,71,104,238,17,NA,2004
"Alabama","Elmore",1,8,9,9,257,480,31,NA,2004
"Alabama","Etowah",3,6,3,2,125,195,35,NA,2004
"Alabama","Geneva",0,3,2,30,85,84,24,NA,2004
"Alabama","Greene",0,2,3,26,62,55,9,NA,2004
"Alabama","Hale",0,1,1,23,58,94,18,NA,2004
"Alabama","Henry",1,3,4,21,56,79,19,NA,2004
"Alabama","Houston",1,0,2,15,113,228,32,NA,2004
"Alabama","Jefferson",0,42,116,169,1214,2277,356,NA,2004
"Alabama","Lauderdale",1,4,1,32,102,301,17,NA,2004
"Alabama","Lawrence",0,4,1,20,128,305,33,NA,2004
"Alabama","Lee",6,3,18,37,386,823,88,NA,2004
"Alabama","Limestone",0,8,6,28,114,193,71,NA,2004
"Alabama","Lowndes",0,4,18,45,173,33,19,NA,2004
"Alabama","Madison",0,29,36,135,643,1399,183,NA,2004
"Alabama","Mobile",2,28,30,154,907,1483,174,NA,2004
"Alabama","Montgomery",1,8,6,40,202,481,53,NA,2004
"Alabama","Morgan",2,2,5,12,243,214,6,NA,2004
"Alabama","Russell",2,5,2,11,84,75,34,NA,2004
"Alabama","Shelby",3,24,21,52,391,517,91,NA,2004
"Alabama","St Clair",0,21,5,78,145,340,35,NA,2004
"Alabama","Tuscaloosa",6,20,18,216,611,1044,218,NA,2004
"Alabama","Walker",1,4,14,20,351,566,97,NA,2004
"Alabama","Baldwin",0,23,4,82,250,431,NA,NA,2004
"Alabama","Cullman",1,23,5,72,539,1065,155,NA,2004
"Alabama","Dallas",0,3,3,7,63,59,21,NA,2004
"Alabama","De Kalb",0,0,0,5,98,126,47,NA,2004
"Alabama","Jackson",2,8,4,54,251,380,108,NA,2004
"Alabama","Marshall",1,10,0,21,215,230,39,NA,2004
"Arizona","Coconino",4,10,5,75,166,364,76,9,2004
"Arizona","Maricopa",12,24,74,475,1657,3647,1082,30,2004
"Arizona","Pima",23,73,174,460,2329,8751,1382,112,2004
"Arizona","Pinal",11,30,31,143,775,2102,651,0,2004
"Arizona","Yavapai",2,6,9,204,548,1154,159,10,2004
"Arizona","Yuma",0,2,21,289,576,668,231,3,2004
"Arizona","Apache",0,2,1,44,77,143,3,0,2004
"Arizona","Cochise",6,24,20,662,297,757,222,16,2004
"Arizona","Gila",0,7,4,110,271,290,61,7,2004
"Arizona","Mohave",6,5,13,118,984,1732,339,32,2004
"Arizona","Navajo",3,4,3,41,299,187,46,5,2004
"Arkansas","Benton",2,16,1,33,108,343,25,10,2004
"Arkansas","Cleveland",1,1,0,2,71,43,5,3,2004
"Arkansas","Craighead",1,3,1,44,125,210,41,9,2004
"Arkansas","Crittenden",3,3,19,74,214,252,53,8,2004
"Arkansas","Faulkner",2,16,1,38,156,510,91,7,2004
"Arkansas","Jefferson",2,5,6,75,276,187,31,8,2004
"Arkansas","Lincoln",1,0,1,5,40,46,0,1,2004
"Arkansas","Lonoke",1,4,3,83,174,213,14,3,2004
"Arkansas","Madison",0,2,0,22,30,37,3,0,2004
